사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
참편한치과의원,치과의원,2022-12-27,200093.947721943,447069.0470298,2026-04-25 22:30:24,I,03,폐업,135,1,0,2025-05-08 10:30:17,,2004-07-19,140-826,서울특별시 용산구 보광동 448번지 신동아아파트 상가 301호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120043020033041100013,3020000,서울특별시 용산구 보광로 14 (보광동),04416,03,폐업,0,,,
원한의원,한의원,2010-06-21,,,2026-04-25 22:30:24,I,03,폐업,72.56,1,0,2010-06-21 11:41:49,,2004-11-01,140-831,서울특별시 용산구 용문동 1-135,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120043020033041100015,3020000,,,03,폐업,0,,,
엠치과의원,치과의원,2017-08-27,197265.064006919,446517.341438543,2026-04-25 22:30:24,I,03,폐업,222,3,0,2017-09-05 18:39:26,,2005-01-31,140-854,서울특별시 용산구  302번지 51호 4층,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120053020033041100003,3020000,"서울특별시 용산구 이촌로 206, 4층 (이촌동)",04427,03,폐업,0,,,
미래이비인후과의원,의원,2010-07-22,,,2026-04-25 22:30:24,I,03,폐업,88.22,1,0,2010-07-22 11:45:49,,2005-04-22,,서울특별시 용산구 후암동 244-11,101 102 104 105 111 113 114,"내과, 신경과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과",의원,PHMA120053020033041100006,3020000,,,03,폐업,0,,,
이오치과의원,치과의원,2009-11-18,,,2026-04-25 22:30:24,I,03,폐업,59.5,1,0,2009-11-18 13:13:37,,2005-07-08,140-906,서울특별시 용산구 이촌1동 301-10 로얄상가201호,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA120053020033041100009,3020000,,,03,폐업,0,,,
윤의원,의원,2022-12-01,198047.573915372,446202.36502252,2026-04-25 22:30:22,I,03,폐업,33,1,0,2022-12-13 16:28:47,,1965-08-30,,서울특별시 용산구 이촌동 300번지 10호,101 111,"내과, 소아청소년과",의원,PHMA119653020033041100001,3020000,"서울특별시 용산구 이촌로 290 (이촌동, 점보상가)",04425,03,폐업,0,,,
임향한의원,한의원,2010-11-23,,,2026-04-25 22:30:22,I,03,폐업,16.5,1,0,2010-11-23 18:41:25,,1965-08-30,140-875,서울특별시 용산구 한강로2가 213,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119653020033041100002,3020000,,,03,폐업,0,,,
차한의원,한의원,2017-03-22,198609.608453579,449323.369026217,2026-04-25 22:30:22,I,03,폐업,108,1,0,2017-03-22 13:00:08,,1965-08-30,140-833,서울특별시 용산구 용산동2가 1번지 465호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119653020033041100003,3020000,서울특별시 용산구 신흥로20길 8 (용산동2가),04328,03,폐업,0,,,
인화한의원,한의원,2018-11-01,197685.447351938,448246.676603249,2026-04-25 22:30:22,I,03,폐업,59.4,2,0,2018-10-25 10:28:14,,1965-08-30,140-011,서울특별시 용산구 한강로1가 14번지 26호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119653020033041100004,3020000,서울특별시 용산구 한강대로 202-1 (한강로1가),04353,03,폐업,0,2018-04-01,2018-06-30,
이경욱외과의원,의원,2015-08-04,,,2026-04-25 22:30:22,I,03,폐업,123,1,0,2015-08-04 13:52:45,,1966-01-15,,서울특별시 용산구 보광동 238-43,101 104,"내과, 외과",의원,PHMA119663020033041100001,3020000,,,03,폐업,0,,,
근화당한의원,한의원,2018-01-15,197262.29084949,449565.882012835,2026-04-25 22:30:22,I,03,폐업,45,1,0,2018-01-15 15:39:48,,1966-07-20,140-869,서울특별시 용산구 청파동1가 163번지,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119663020033041100002,3020000,서울특별시 용산구 청파로 321 (청파동1가),04308,03,폐업,0,,,
김정범치과의원,치과의원,2023-08-31,,,2026-04-25 22:30:22,I,03,폐업,40,1,0,2023-09-01 16:35:09,,1967-01-23,140-886,서울특별시 용산구 한남동 76번지 21호,410 409 408 407,"치과보존과, 구강내과, 영상치의학과, 구강병리과",치과의원,PHMA119673020033041100001,3020000,서울특별시 용산구 한남대로 57 (한남동),04401,03,폐업,0,,,
원효로의원,의원,2021-10-27,196708.429265199,448281.343781295,2026-04-25 22:30:22,I,03,폐업,224.85,1,0,2021-10-27 10:47:13,,1968-04-16,,서울특별시 용산구 원효로2가 25번지,101 105 111,"내과, 정형외과, 소아청소년과",의원,PHMA119683020033041100001,3020000,"서울특별시 용산구 원효로 191 (원효로2가, 원효로의원)",04364,03,폐업,0,,,
이치과의원,치과의원,2010-06-30,,,2026-04-25 22:30:22,I,03,폐업,39,1,0,2010-06-30 11:06:39,,1969-09-20,140-869,서울특별시 용산구 청파동1가 138,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119693020033041100001,3020000,,,03,폐업,0,,,
조소아과의원,의원,2016-11-15,198323.955988855,449327.972744854,2026-04-25 22:30:22,I,03,폐업,49.5,1,0,2016-11-14 12:34:31,,1971-06-10,,서울특별시 용산구 용산동2가 1번지 395호,101 111,"내과, 소아청소년과",의원,PHMA119713020033041100001,3020000,"서울특별시 용산구 신흥로 146-1 (용산동2가, 조소아과)",04337,03,폐업,0,,,
오치과의원,치과의원,2019-01-29,196559.769335633,448200.412376411,2026-04-25 22:30:22,I,03,폐업,66.07,1,0,2019-01-29 08:56:12,,1971-06-10,140-847,서울특별시 용산구 원효로2가 81번지 3호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119713020033041100002,3020000,서울특별시 용산구 새창로 131-7 (원효로2가),04364,03,폐업,0,,,
보신치과의원,치과의원,2013-04-30,,,2026-04-25 22:30:22,I,03,폐업,82.5,2,0,2013-04-30 11:24:02,,1971-06-10,140-823,서울특별시 용산구 보광동 259-1,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119713020033041100003,3020000,,,03,폐업,0,,,
동성치과의원,치과의원,2011-12-16,,,2026-04-25 22:30:22,I,03,폐업,30,1,0,2011-12-16 17:36:41,,1971-06-10,140-876,서울특별시 용산구 한강로2가 353-1,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119713020033041100005,3020000,,,03,폐업,0,,,
화신치과의원,치과의원,2017-07-14,198842.61612083,448493.993525383,2026-04-25 22:30:23,I,03,폐업,105,1,0,2017-07-14 17:59:36,,1971-06-10,140-861,서울특별시 용산구 이태원동 647번지,403 402,"구강악안면외과, 치과보철과",치과의원,PHMA119713020033041100006,3020000,서울특별시 용산구 회나무로 7 (이태원동),04343,03,폐업,0,,,
혜화당한의원,한의원,2012-09-13,,,2026-04-25 22:30:23,I,03,폐업,87,1,0,2012-09-13 17:35:56,,1971-06-10,140-133,서울특별시 용산구 청파동3가 26-18,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119713020033041100007,3020000,,,03,폐업,0,,,
정행남치과의원,치과의원,2020-05-01,196785.287686892,447075.536363298,2026-04-25 22:30:23,I,03,폐업,82.5,1,0,2020-04-24 17:28:07,,1971-09-01,140-880,서울특별시 용산구 한강로3가 40번지 592호,411 408 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 구강내과, 예방치과",치과의원,PHMA119713020033041100008,3020000,서울특별시 용산구 한강대로 55 (한강로3가),04379,03,폐업,0,2018-12-01,2020-04-30,02-795-0486
동원당한의원,한의원,2015-11-12,196784.657880138,450071.208046076,2026-04-25 22:30:23,I,03,폐업,33,1,0,2015-11-12 15:43:15,,1971-09-01,140-830,서울특별시 용산구 서계동 243번지 13호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119713020033041100009,3020000,서울특별시 용산구 만리재로 158 (서계동),04302,03,폐업,0,,,
이옥주산부인과의원,의원,2009-04-22,,,2026-04-25 22:30:23,I,03,폐업,83.07,1,0,2009-04-22 11:36:18,,1972-02-03,,서울특별시 용산구 한강로3가 62-200,110,산부인과,의원,PHMA119723020033041100001,3020000,,,03,폐업,0,,,
형제한의원,한의원,2021-08-24,197301.194561162,447641.194799197,2026-04-25 22:30:23,I,03,폐업,66,1,0,2021-08-24 17:38:15,,1972-02-25,140-872,서울특별시 용산구 한강로2가 114번지 3호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119723020033041100002,3020000,서울특별시 용산구 한강대로44길 6 (한강로2가),04382,03,폐업,0,,,
용강의원,의원,2020-08-31,199962.958832955,447082.33079997,2026-04-25 22:30:23,I,03,폐업,40,1,0,2020-08-31 10:45:50,,1972-10-02,,서울특별시 용산구 보광동 216번지 56호,101 104 111 115,"내과, 외과, 소아청소년과, 비뇨의학과",의원,PHMA119723020033041100003,3020000,"서울특별시 용산구 장문로 98 (보광동, 용강의원)",04396,03,폐업,0,,,
조상범치과의원,치과의원,2017-11-17,197897.03001154,449754.014241586,2026-04-25 22:30:23,I,03,폐업,85.44,1,0,2017-11-15 13:40:59,,1972-11-23,140-900,서울특별시 용산구 후암동 105번지 180호,411 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119723020033041100004,3020000,서울특별시 용산구 한강대로104길 88 (후암동),04332,03,폐업,0,2017-11-17,2027-11-16,
김기호치과의원,치과의원,2013-01-03,,,2026-04-25 22:30:23,I,03,폐업,33,1,0,2013-01-03 17:38:26,,1972-12-01,140-160,서울특별시 용산구 남영동 18-1,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119723020033041100005,3020000,,,03,폐업,0,2012-11-24,2012-12-31,
세정한의원,한의원,2024-12-31,197722.571038558,446344.591216568,2026-04-25 22:30:23,I,03,폐업,39,1,0,2025-01-15 19:41:37,,1972-12-05,140-724,서울특별시 용산구 이촌동 300번지 23호,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119723020033041100006,3020000,서울특별시 용산구 이촌로 248 (이촌동),04426,03,폐업,0,2024-09-21,2024-12-31,02-794-1464
보원한의원,한의원,2009-07-16,,,2026-04-25 22:30:23,I,03,폐업,46.75,1,0,2009-07-17 08:39:38,,1972-12-18,140-823,서울특별시 용산구 보광동 216-112,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119723020033041100007,3020000,,,03,폐업,0,,,
강남치과의원,치과의원,2013-02-14,,,2026-04-25 22:30:23,I,03,폐업,50,1,0,2013-02-15 09:56:10,,1973-05-25,140-210,서울특별시 용산구 한남동 726-74,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119733020033041100001,3020000,,,03,폐업,0,,,
홍치과의원,치과의원,2008-10-20,,,2026-04-25 22:30:23,I,03,폐업,33,1,0,2011-11-22 14:38:56,,1973-07-10,140-190,서울특별시 용산구 후암동 439,201 202 203 204 205 210,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 예방치과",치과의원,PHMA119733020033041100002,3020000,,,03,폐업,0,,,
장양한의원,한의원,2013-09-17,,,2026-04-25 22:30:23,I,03,폐업,132,1,0,2013-09-17 16:06:42,,1973-07-10,140-901,서울특별시 용산구 후암동 195-10,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA119733020033041100003,3020000,,,03,폐업,0,2013-03-22,2013-09-21,
온누리정형외과의원,의원,2016-05-13,197450.277644237,446437.197878548,2026-04-25 22:30:25,I,03,폐업,38.77,2,0,2016-05-11 15:47:55,,2010-01-14,140-854,"서울특별시 용산구 이촌1동 300번지 27호 한강쇼핑센터 203호, 207호",101 105,"내과, 정형외과",의원,PHMA120103020033041100001,3020000,"서울특별시 용산구 이촌로 224 (이촌동,한강쇼핑센터 203호, 207호)",,03,폐업,0,,,
안병철한의원,한의원,2020-09-16,197138.670479641,446538.290693946,2026-04-25 22:30:25,I,03,폐업,115.8,1,0,2020-09-10 15:59:02,,2010-02-01,140-854,서울특별시 용산구 이촌1동 302번지 61호 제일맨션 101호,301 304 307 302 305 308 303 306,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120103020033041100003,3020000,"서울특별시 용산구 이촌로 192 (이촌동,제일맨션 101호)",04427,03,폐업,0,,,
임안과의원,의원,2011-06-29,198940.483210307,448499.226994016,2026-04-25 22:30:25,I,03,폐업,137.2,1,0,2011-06-29 12:47:19,,2010-04-22,140-861,서울특별시 용산구 이태원2동 303번지 17호 혜광빌딩 3층,112,안과,의원,PHMA120103020033041100007,3020000,"서울특별시 용산구 회나무로6길 5 (이태원동,혜광빌딩 3층)",,03,폐업,0,,,
서울바른치과의원,치과의원,2025-01-28,196503.783070686,448592.511643064,2026-04-25 22:30:25,I,03,폐업,0,1,0,2025-02-06 15:59:51,,2010-04-27,,,412 411 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과, 통합치의학과",치과의원,PHMA120103020033041100008,3020000,"서울특별시 용산구 백범로 287 (효창동,3층)",04318,03,폐업,0,,,
이촌예지의원,의원,2013-02-13,197811.954980013,446248.255892098,2026-04-25 22:30:25,I,03,폐업,104.94,1,0,2013-02-13 19:28:20,,2010-05-03,140-725,"서울특별시 용산구 이촌1동 300번지 301호 삼익상가 3층 302호일부, 303호",114,피부과,의원,PHMA120103020033041100009,3020000,"서울특별시 용산구 이촌로 264, 302호일부,303호 (이촌동, 삼익상가)",,03,폐업,0,,,
미소인치과의원,치과의원,2018-09-02,197679.255159437,446425.373848781,2026-04-25 22:30:25,I,03,폐업,58.76,1,0,2018-08-27 09:56:10,,2010-05-14,140-906,서울특별시 용산구 이촌1동 301번지 10호 로얄상가 2층1호,401,치과,치과의원,PHMA120103020033041100010,3020000,서울특별시 용산구 이촌로 245 (이촌동),04423,03,폐업,0,,,
행복한아침의원,의원,2013-01-20,197063.843310118,449196.025596089,2026-04-25 22:30:25,I,03,폐업,176.34,1,0,2013-01-10 20:29:03,,2010-05-13,140-132,서울특별시 용산구 청파동2가 71번지 88호 명신플라자 4층,114 115,"피부과, 비뇨의학과",의원,PHMA120103020033041100011,3020000,"서울특별시 용산구 청파로47길 52 (청파동2가,명신플라자 4층)",,03,폐업,0,,,
유디치과의원,치과의원,2012-10-31,196610.663839509,447742.348636253,2026-04-25 22:30:25,I,03,폐업,549.92,4,0,2012-10-31 11:46:55,,2010-06-01,140-877,서울특별시 용산구 한강로3가 40번지 969호 터미널전자상가 2층,401,치과,치과의원,PHMA120103020033041100012,3020000,,,03,폐업,0,,,
피노키오이비인후과의원,의원,2014-05-07,197083.100438264,447552.774477998,2026-04-25 22:30:25,I,03,폐업,259.52,2,3,2014-05-07 14:24:14,,2010-07-12,140-735,"서울특별시 용산구 한강로2가 2번지 37호 용산토투밸리 7층 705호, 706호",113 101 111 114 112 108,"내과, 성형외과, 소아청소년과, 안과, 이비인후과, 피부과",의원,PHMA120103020033041100013,3020000,"서울특별시 용산구 새창로 217 (한강로2가,용산토투밸리 7층 705호, 706호)",,03,폐업,4,,,
서울준치과의원,치과의원,2025-04-16,196424.623802432,448396.915261383,2026-04-25 22:30:25,I,03,폐업,102.88,1,0,2025-04-10 16:28:41,,2010-10-08,,서울특별시 용산구 용문동 7번지 6호,401,치과,치과의원,PHMA120103020033041100020,3020000,"서울특별시 용산구 효창원로 105, 2,3층 (용문동)",04355,03,폐업,0,,,02-716-2275
이레치과의원,치과의원,2013-01-31,197560.347326866,448936.165461139,2026-04-25 22:30:25,I,03,폐업,115.84,2,0,2014-08-18 13:51:04,,2011-01-10,140-160,서울특별시 용산구 남영동 81번지 3호 3층,401,치과,치과의원,PHMA120113020033041100001,3020000,"서울특별시 용산구 한강대로80길 5 (남영동,3층)",,03,폐업,0,,,02-793-7277
미그린한의원,한의원,2012-02-01,196005.836412851,447699.758814725,2026-04-25 22:30:25,I,03,폐업,159.6,1,0,2012-02-01 13:17:53,,2011-02-01,140-791,서울특별시 용산구 한강로3가 16번지 85호 GS한강에클라트 104호,301 308 304 302 303 305 306 307,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120113020033041100002,3020000,"서울특별시 용산구 이촌로 1 (한강로3가,GS한강에클라트 104호)",,03,폐업,0,,,02-703-1975
수미안치과의원,치과의원,2011-11-30,199471.30974998,447522.747030786,2026-04-25 22:30:25,I,03,폐업,70,1,0,2011-11-30 17:29:15,,2011-04-05,140-860,서울특별시 용산구 이태원1동 22번지 2호 2층,401,치과,치과의원,PHMA120113020033041100004,3020000,"서울특별시 용산구 장문로 27 (이태원동,2층)",,03,폐업,0,,,
한우리한의원,한의원,2023-02-10,199034.580692003,448669.474748983,2026-04-25 22:30:25,I,03,폐업,159.17,1,0,2023-02-10 14:23:14,,2011-04-28,140-856,서울특별시 용산구 이태원동 254번지 5호,301 304 307 302 305 308 303 306,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120113020033041100005,3020000,서울특별시 용산구 회나무로13길 20-4 (이태원동),04344,03,폐업,0,,,02-790-7748
유디남영치과의원,치과의원,2011-08-22,197592.425971984,448787.429656748,2026-04-25 22:30:25,I,03,폐업,274.6,1,0,2011-10-30 13:14:08,,2011-06-14,140-160,서울특별시 용산구 남영동 120번지 2호 수빌딩 5층,401,치과,치과의원,PHMA120113020033041100007,3020000,"서울특별시 용산구 한강대로 256 (남영동, 수빌딩 5층)",,03,폐업,0,,,02-798-0089
미체담한의원,한의원,2013-03-07,197425.47861329,449166.662964325,2026-04-25 22:30:25,I,03,폐업,118.68,1,0,2013-03-07 16:49:17,,2011-09-20,140-806,서울특별시 용산구 갈월동 69번지 3호 4층,301 304 307 302 305 308 303 306,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120113020033041100009,3020000,서울특별시 용산구 한강대로 297 (갈월동),,03,폐업,0,,,32937575
아이피의원,의원,2013-02-06,199774.471653899,448110.566487329,2026-04-25 22:30:25,I,03,폐업,174.87,1,0,2013-02-07 08:48:42,,2011-09-22,140-893,서울특별시 용산구 한남동 737번지 25호 (이태원로 221) 아이피부티크호텔 2층,114 108 101 122 104 115,"내과, 외과, 성형외과, 피부과, 비뇨의학과, 가정의학과",의원,PHMA120113020033041100010,3020000,"서울특별시 용산구 이태원로 221 (한남동,(이태원로 221) 아이피부티크호텔 2층)",,03,폐업,0,,,
아이피부티크의원,의원,2012-06-08,199774.471653899,448110.566487329,2026-04-25 22:30:25,I,03,폐업,270.39,1,0,2012-06-08 15:55:24,,2011-10-05,140-893,서울특별시 용산구 한남동 737번지 25호 (이태원로 221)아이피부티크호텔 2층,101 104 122 108 114 115,"내과, 외과, 성형외과, 피부과, 비뇨의학과, 가정의학과",의원,PHMA120113020033041100011,3020000,"서울특별시 용산구 이태원로 221 (한남동,(이태원로 221)아이피부티크호텔 2층)",,03,폐업,0,,,
소망한의원,한의원,2024-03-14,199908.377255578,447351.598864666,2026-04-25 22:30:25,I,03,폐업,90.2,1,0,2024-03-06 17:27:01,,2011-11-07,,,301 302 303 304 305 306 307 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120113020033041100014,3020000,"서울특별시 용산구 보광로24길 12, 3층 (보광동)",04415,03,폐업,0,,,02-792-7577
시민의원,의원,2024-06-03,197418.853136927,449290.688144064,2026-04-25 22:30:25,I,03,폐업,80.25,2,0,2024-06-10 16:58:33,,2012-02-08,140-806,서울특별시 용산구 갈월동 69번지 75호 유니온빌딩 1층,101 122,"내과, 가정의학과",의원,PHMA120123020033041100002,3020000,"서울특별시 용산구 한강대로 309, 1층 (갈월동, 유니온빌딩)",04320,03,폐업,0,,,02-719-8147
유니퀸의원,의원,2013-04-15,197061.133781659,450255.757958327,2026-04-25 22:30:25,I,03,폐업,101.4,1,0,2013-04-15 13:54:10,,2012-05-08,140-828,서울특별시 용산구 서계동 223번지 55호 서계대명빌딩 2층 201~204호,114 108,"성형외과, 피부과",의원,PHMA120123020033041100005,3020000,"서울특별시 용산구 만리재로 192, 2층 201~204호 (서계동, 서계대명빌딩)",,03,폐업,0,,,
미그린한의원,한의원,2013-01-01,196005.836412851,447699.758814725,2026-04-25 22:30:25,I,03,폐업,199.63,1,0,2012-12-31 16:36:05,,2012-05-31,140-791,서울특별시 용산구 한강로3가 16번지 85호,301,한방내과,한의원,PHMA120123020033041100006,3020000,"서울특별시 용산구 이촌로 1, 1층 (한강로3가)",,03,폐업,0,,,
수미안치과의원,치과의원,2012-11-30,199471.30974998,447522.747030786,2026-04-25 22:30:25,I,03,폐업,70,1,0,2012-11-30 16:46:27,,2012-06-20,140-731,서울특별시 용산구 이태원동 22번지 2호,401,치과,치과의원,PHMA120123020033041100007,3020000,"서울특별시 용산구 장문로 27, 2층 201호 (이태원동)",,03,폐업,0,,,02-796-6106
용산벨라의원,의원,2013-02-15,197542.687282146,448325.294355232,2026-04-25 22:30:25,I,03,폐업,68.96,2,0,2013-02-18 10:05:11,,2012-10-08,140-011,서울특별시 용산구  64번지 대우월드마크용산 208호,101 108 114 115,"내과, 성형외과, 피부과, 비뇨의학과",의원,PHMA120123020033041100009,3020000,"서울특별시 용산구 한강대로 211, 208호 (한강로1가)",,03,폐업,0,,,
예원의원,의원,2021-08-20,200051.036405453,448464.581422577,2026-04-25 22:30:25,I,03,폐업,228,1,0,2021-08-31 16:08:43,,2012-10-17,140-893,서울특별시 용산구 한남동 740번지 1호,122 114,"피부과, 가정의학과",의원,PHMA120123020033041100010,3020000,"서울특별시 용산구 이태원로 267, 3층 (한남동)",04348,03,폐업,0,,,
마마스조산원,조산원,2018-09-19,197045.849468346,448447.558967085,2026-04-25 22:30:25,I,03,폐업,174.7,3,5,2018-09-19 13:54:09,,2012-10-22,140-111,서울특별시 용산구 원효로1가 133번지 3호 리첸시아용산 A동 301호,501,조산원,조산원,PHMA120123020033041100011,3020000,"서울특별시 용산구 백범로 341, A동 301호 (원효로1가, 리첸시아용산)",04315,03,폐업,5,,,
97.7비엔에치의원,의원,2020-12-21,200887.091124451,447766.630012917,2026-04-25 22:30:26,I,03,폐업,369,1,0,2020-12-21 16:46:07,,2012-11-23,140-884,"서울특별시 용산구 한남동 11번지 323호 지하1층, 지상1,2층",110 114 108,"성형외과, 산부인과, 피부과",의원,PHMA120123020033041100013,3020000,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",04420,03,폐업,0,2020-12-14,2020-12-20,34380510
용산엠치과의원,치과의원,2021-03-02,196998.220997242,447272.715789168,2026-04-25 22:30:26,I,03,폐업,115.06,3,0,2021-03-02 16:00:55,,2013-01-22,140-875,서울특별시 용산구 한강로2가 225번지 6호,401,치과,치과의원,PHMA120133020033041100002,3020000,서울특별시 용산구 한강대로 84-1 (한강로2가),04387,03,폐업,0,,,02-790-0077
경희효전한의원,한의원,2019-05-15,200757.113163707,448018.925089164,2026-04-25 22:30:26,I,03,폐업,105.18,2,0,2019-05-15 17:40:55,,2013-02-13,140-888,서울특별시 용산구  274번지 1호 로얄샤르망 402호,301 304 307 302 305 308 303 306,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120133020033041100003,3020000,"서울특별시 용산구 독서당로 81, 402호 (한남동)",04419,03,폐업,0,,,
청아치과의원,치과의원,2013-05-08,199471.30974998,447522.747030786,2026-04-25 22:30:26,I,03,폐업,102.17,1,0,2013-05-08 16:00:35,,2013-02-15,140-731,서울특별시 용산구 이태원동 22번지 2호,401,치과,치과의원,PHMA120133020033041100004,3020000,"서울특별시 용산구 장문로 27 (이태원동, 청화상가)",,03,폐업,0,,,02-794-6106
차암한의원,한의원,2016-01-14,200502.179579742,447861.95859763,2026-04-25 22:30:26,I,03,폐업,189.32,2,0,2016-01-14 13:28:18,,2013-03-12,140-889,서울특별시 용산구 한남동 79번지 3호,306 303 308 305 302 301 304 307,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한의원,PHMA120133020033041100006,3020000,서울특별시 용산구 대사관로 76 (한남동),04410,03,폐업,0,,,
용산벨라의원,의원,2017-03-17,197143.611431282,447561.482331264,2026-04-25 22:30:26,I,03,폐업,80.8,2,0,2017-03-17 15:34:31,,2013-04-05,140-871,"서울특별시 용산구 한강로2가 312번지 4호 (110, 207, 208, 209호)",114 108,"성형외과, 피부과",의원,PHMA120133020033041100009,3020000,서울특별시 용산구 한강대로 115 (한강로2가),04376,03,폐업,0,,,
배나무한의원,한의원,2025-03-01,199448.742449905,447896.841025975,2026-04-25 22:30:26,I,03,폐업,96.64,1,0,2025-03-06 14:16:32,,2013-10-10,,,301 302 303 305 308,"한방내과, 한방부인과, 한방소아과, 한방신경정신과, 침구과",한의원,PHMA120133020033041100014,3020000,서울특별시 용산구 보광로 118 (이태원동),04406,03,폐업,0,,,02-790-9975
경희서계한의원,한의원,2019-07-25,196711.134559234,449844.775829513,2026-04-25 22:30:26,I,03,폐업,98.04,1,0,2019-07-30 10:53:51,,2013-12-13,140-830,서울특별시 용산구 서계동 267번지 48호,302 301 303 307 305 304,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과",한의원,PHMA120133020033041100015,3020000,서울특별시 용산구 효창원로 265-4 (서계동),04305,03,폐업,0,,,02-716-1075
