"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"71","의료기기판매(임대)업","01_02_03_P","5370000","PHMG120225370025047000006","2022-02-04","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 고현동 ***","경상남도 거제시 거제중앙로 ****, *층 (고현동)","53258","이마트24 거제스타점","2026-01-23 11:35:04","U","2026-01-25 02:40:00","","348553.644663425","154987.742808754","","","56.7","",
"72","의료기기판매(임대)업","01_02_03_P","3520000","PHMG120223520019047000120","2022-03-14","","03","폐업","03","폐업","2026-01-31","","","","","","","인천광역시 연수구 동춘동 *** 동춘마을아파트","인천광역시 연수구 먼우금로 ***, 상가동 *층 ***,***호 (동춘동, 동춘마을아파트)","21966","GS25동춘마을점","2026-01-23 09:07:54","U","2026-01-25 02:40:00","","170730.904382819","434389.530607612","","","","",
"73","의료기기판매(임대)업","01_02_03_P","5540000","PHMG120225540016047000044","2022-02-05","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 광주시 쌍령동 *** 광주 센트럴 푸르지오","경기도 광주시 경충대로****번길 **, 상가동 ***,***,***호 (쌍령동, 광주 센트럴 푸르지오)","12791","CU(씨유) 쌍령푸르지오점","2026-01-23 15:24:06","U","2026-01-25 02:40:00","","223790.006066315","432759.124890495","","","99","",
"74","의료기기판매(임대)업","01_02_03_P","4060000","PHMG120224060023047000222","2022-03-31","","03","폐업","03","폐업","2026-01-22","","","","","","","경기도 파주시 동패동 **** 운정신도시 IPARK","경기도 파주시 심학산로 ***, ***동 ****호 (동패동, 운정신도시 IPARK)","10903","베바스 스토어","2026-01-23 09:34:58","U","2026-01-25 02:40:00","","176508.920829366","468096.711849659","","","","",
"75","의료기기판매(임대)업","01_02_03_P","5100000","PHMG120245100028047000012","2024-08-14","","03","폐업","03","폐업","2026-01-23","","","","","","","경상북도 영천시 완산동 ****","경상북도 영천시 완산*길 *, ***-***호 (완산동)","38894","이마트24 이편한스퀘어점","2026-01-23 20:39:05","U","2026-01-25 02:40:00","","375068.592906377","275234.527132303","","","54","",
"76","의료기기판매(임대)업","01_02_03_P","4291000","PHMG120244291027047000003","2024-06-17","","01","영업/정상","13","영업중","","","","","0335917646","","","강원특별자치도 정선군 사북읍 사북리 ***-**","강원특별자치도 정선군 사북읍 사북중앙로 **-*, *층","26153","주식회사 해인","2026-01-23 10:27:37","U","2026-01-25 02:40:00","","361282.109476209","415467.909131661","","","98.77","",
"77","의료기기판매(임대)업","01_02_03_P","3190000","PHMG120243190033047000029","2024-07-01","","03","폐업","03","폐업","2026-01-21","","","","","","","서울특별시 동작구 신대방동 ***-** 주원빌리지","서울특별시 동작구 여의대방로**길 **, ***호 (신대방동, 주원빌리지)","07056","디피오피스(DT)","2026-01-23 10:35:55","U","2026-01-25 02:40:00","","193184.43419165","443999.107307119","","","43.25","",
"78","의료기기판매(임대)업","01_02_03_P","4820000","PHMG120114820026047000002","2011-02-28","","03","폐업","03","폐업","2026-01-23","","","","061-723-5353","","540-951","전라남도 순천시 연향동 ****번지 **호","전라남도 순천시 연향로 *, *층 (연향동)","57990","세모스쿠알렌순천지점","2026-01-23 16:56:37","U","2026-01-25 02:40:00","","246916.517580058","160666.440124214","","","57.77","",
"79","의료기기판매(임대)업","01_02_03_P","4820000","PHMG120094820026047000013","2009-06-10","","03","폐업","03","폐업","2026-01-22","","","","061-722-2900","","540-320","전라남도 순천시 조례동 ****번지 **호","전라남도 순천시 이수로 *** (조례동)","","유한회사 순천유통","2026-01-23 07:57:35","U","2026-01-25 02:40:00","","247391.704979707","161833.224728367","","","","",
"80","의료기기판매(임대)업","01_02_03_P","4810000","PHMG120174810029047000032","2017-11-06","","03","폐업","03","폐업","2026-01-22","","","","","","","전라남도 여수시 서교동 ***번지 *호","전라남도 여수시 좌수영로 **, *층 (서교동)","59752","밝은 안경","2026-01-23 16:05:12","U","2026-01-25 02:40:00","","266630.452553828","138557.987805842","","","99.1","",
"81","의료기기판매(임대)업","01_02_03_P","3660000","PHMG120223660023047000006","2022-01-24","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 월평동 *** 황실타운","대전광역시 서구 청사로 **, *층 ***호 (월평동, 황실타운)","35216","씨유대전황실타운점","2026-01-23 10:44:29","U","2026-01-25 02:40:00","","233293.025857215","317853.631178735","","","","",
"82","의료기기판매(임대)업","01_02_03_P","3930000","PHMG120263930154047000001","2026-01-23","","03","폐업","03","폐업","2026-01-23","","","","","","","경기도 안산시 단원구 고잔동 ***-* 중앙오피스텔","경기도 안산시 단원구 고잔로 **, 중앙오피스텔 ***동 지하 *층 아**호 (고잔동)","15352","에스제이메디칼","2026-01-23 15:52:10","U","2026-01-25 02:40:00","","185068.767406562","424185.02731601","","","","",
"83","의료기기판매(임대)업","01_02_03_P","3300000","PHMG120233300024047000037","2023-04-10","","03","폐업","03","폐업","2026-01-23","","","","","","","부산광역시 동래구 명륜동 *** 명륜*차아이파크","부산광역시 동래구 시실로 **, 명륜*차아이파크 상가동 ***호 (명륜동)","47756","CU 명륜2차아이파크점","2026-01-23 16:57:37","U","2026-01-25 02:40:00","","389924.471384562","192841.386776896","","","","",
"84","의료기기판매(임대)업","01_02_03_P","3350000","PHMG120023350024047000006","2002-12-30","","03","폐업","03","폐업","2026-01-23","","","","051-582-2266","","609-764","부산광역시 금정구 남산동 ***번지 **호 남산럭키아파트 상가**동 ***호","부산광역시 금정구 남산로**번길 ** (남산동)","46225","비웰즈","2026-01-23 16:17:06","U","2026-01-25 02:40:00","","389811.762505992","198130.805168535","","","40.07","",
"85","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120215670066047000096","2021-12-07","","03","폐업","03","폐업","2026-01-22","","","","055-255-5085","","","경상남도 창원시 마산회원구 양덕동 **-* 호빌딩","경상남도 창원시 마산회원구 팔용로 **, 호빌딩 지하*층 (양덕동)","51361","주식회사 범우전산프라자","2026-01-23 09:10:02","U","2026-01-25 02:40:00","","344522.465253094","193969.756996022","","","150","",
"86","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120225670066047000001","2022-01-10","","03","폐업","03","폐업","2026-01-22","","","","","","","경상남도 창원시 마산회원구 양덕동 **-* 호빌딩","경상남도 창원시 마산회원구 팔용로 **, 호빌딩 *층 *호 (양덕동)","51361","DY테크","2026-01-23 09:10:11","U","2026-01-25 02:40:00","","344522.465253094","193969.756996022","","","","",
"87","의료기기판매(임대)업","01_02_03_P","3420000","PHMG120233420023047000022","2023-01-25","","03","폐업","03","폐업","2026-01-21","","","","","","","대구광역시 동구 각산동 ****-*","대구광역시 동구 이노밸리로 ***, A동 *층 ***호 (각산동)","41065","다희","2026-01-23 10:53:58","U","2026-01-25 02:40:00","","354657.760690903","265653.693049654","","","63.9","",
"88","의료기기판매(임대)업","01_02_03_P","3290000","PHMG120233290024047000041","2023-02-21","","03","폐업","03","폐업","2026-01-23","","","","","","","부산광역시 부산진구 연지동 ***-** 래미안어반파크","부산광역시 부산진구 성지로 **, *동 *층 ***호 (연지동, 래미안어반파크)","47128","씨유연지래미안3동점","2026-01-23 17:58:02","U","2026-01-25 02:40:00","","386782.740399224","188127.671595095","","","42.9","",
"89","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120235670554047000035","2023-03-14","","03","폐업","03","폐업","2026-01-22","","","","","","","경상남도 창원시 의창구 팔용동 **-* 웰빙프라자","경상남도 창원시 의창구 평산로 **, 웰빙프라자 ***호 (팔용동)","51389","GS25 창원웰빙점","2026-01-23 09:05:22","U","2026-01-25 02:40:00","","347343.909179975","195902.597271493","","","","",
"90","의료기기판매(임대)업","01_02_03_P","3230000","PHMG120233230034047000062","2023-03-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 문정동 *** 가든파이브라이프","서울특별시 송파구 충민로 **, 가든파이브라이프 가든파이브라이프동 *층 T****-**호 (문정동)","05838","주식회사 에이치피씨앤컴퍼니","2026-01-23 17:27:13","U","2026-01-25 02:40:00","","210986.460698452","441725.293491662","","","","",
"91","의료기기판매(임대)업","01_02_03_P","3230000","PHMG120233230034047000064","2023-03-15","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 송파구 잠실동 ***-*","서울특별시 송파구 백제고분로*길 **, ****호 (잠실동)","05558","하나메디컬","2026-01-23 14:41:03","U","2026-01-25 02:40:00","","207370.752606056","445426.25322676","","","","",
"92","의료기기판매(임대)업","01_02_03_P","4490000","PHMG120234490261047000013","2023-02-01","","03","폐업","03","폐업","2026-01-23","","","","","","","충청남도 천안시 서북구 차암동 **-* GS**","충청남도 천안시 서북구 *공단*길 **, GS** (차암동)","31075","씨유천안제2산단점","2026-01-23 16:18:24","U","2026-01-25 02:40:00","","210658.230749776","372662.578750799","","","","",
"93","의료기기판매(임대)업","01_02_03_P","3410000","PHMG120233410023047000020","2023-03-21","","03","폐업","03","폐업","2026-01-22","","","","","","","대구광역시 중구 동인동*가 *** ***동 ****호","대구광역시 중구 국채보상로***길 **, ***동 ****호 (동인동*가)","41907","닷잉크(DOTINK)","2026-01-23 13:04:24","U","2026-01-25 02:40:00","","345488.168728615","264579.81855393","","","","",
"94","의료기기판매(임대)업","01_02_03_P","3080000","PHMG120243080033047000006","2024-02-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 수유동 ***-**","서울특별시 강북구 한천로 ****-**, *층 (수유동)","01053","고려의 혼","2026-01-23 10:02:41","U","2026-01-25 02:40:00","","202141.256486305","459964.356105121","","","","",
"95","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120143630020047000006","2014-03-06","","03","폐업","03","폐업","2026-01-20","","","","062-956-8579","","506-816","광주광역시 광산구 운남동 ***번지 **호","광주광역시 광산구 임방울대로 *** (운남동)","62319","필상사","2026-01-23 17:18:01","U","2026-01-25 02:40:00","","183350.145670162","186359.348437671","","","70","",
"96","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120233560021047000042","2023-01-31","","03","폐업","03","폐업","2026-01-23","","","","","","","인천광역시 서구 마전동 ****-* 마전대원레스피아*차아파트","인천광역시 서구 가현로 **, ***동 ***호 (마전동, 마전대원레스피아*차아파트)","22609","라엘리마켓","2026-01-23 17:12:13","U","2026-01-25 02:40:00","","170024.003213681","456693.450020033","","","","",
"97","의료기기판매(임대)업","01_02_03_P","4820000","PHMG120254820026047000019","2025-07-22","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 조례동 ***-* 상가","전라남도 순천시 순광로 **, *층 (조례동)","57948","주식회사 시원메딕스","2026-01-23 17:11:41","U","2026-01-25 02:40:00","","247840.569713456","161995.166212789","","","","",
"98","의료기기판매(임대)업","01_02_03_P","4600000","PHMG120254600019047000015","2025-09-23","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍성읍 대교리 ***","충청남도 홍성군 홍성읍 도청대로 **","32218","다이소 홍성2호점","2026-01-23 17:28:40","U","2026-01-25 02:40:00","","169835.306942242","345363.673118644","","","","",
"99","의료기기판매(임대)업","01_02_03_P","5020000","PHMG120255020055047000032","2025-09-10","","03","폐업","03","폐업","2026-01-15","","","","","","","경상북도 포항시 남구 지곡동 *** 포스빌","경상북도 포항시 남구 지곡로 ***, *동 ***호 (지곡동, 포스빌)","37666","에이치컴퍼니","2026-01-23 08:49:00","U","2026-01-25 02:40:00","","409726.748822166","281943.20352477","","","","",
"100","의료기기판매(임대)업","01_02_03_P","5020000","PHMG120255020055047000033","2025-09-16","","03","폐업","03","폐업","2026-01-20","","","","","","","경상북도 포항시 남구 지곡동 *** 효자그린아파트","경상북도 포항시 남구 지곡로 ***, ***동 ***호 (지곡동, 효자그린아파트)","37667","치코랜드","2026-01-23 08:48:45","U","2026-01-25 02:40:00","","409355.527132518","283841.437456772","","","","",
"101","의료기기판매(임대)업","01_02_03_P","5380000","PHMG120225380021047000301","2022-11-14","","03","폐업","03","폐업","2026-01-23","","","","","","","경상남도 양산시 평산동 **** 양산 평산동 삼한사랑채","경상남도 양산시 평산로 ***-**, 상가동 B***호,B***호 (평산동, 양산 평산동 삼한사랑채)","50541","씨유 양산평산사랑채점","2026-01-23 16:08:34","U","2026-01-25 02:40:00","","394694.736792259","211114.795716676","","",".42","",
"102","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120213630020047000074","2021-05-13","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 신가동 **** 농수산물유통센터","광주광역시 광산구 임방울대로 ***, 농수산물유통센터 (신가동)","62307","(주)농협하나로유통 광주농산물종합유통센터","2026-01-23 17:18:18","U","2026-01-25 02:40:00","","183424.206971541","187349.820166996","","","","",
"103","의료기기판매(임대)업","01_02_03_P","5690000","PHMG120215690045047000081","2025-12-15","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 보람동 *** 강남제일타워","세종특별자치시 남세종로 ***, 강남제일타워 *층 ***-***호 (보람동)","30150","에스피글로벌","2026-01-23 16:02:47","U","2026-01-25 02:40:00","","225890.448392882","330733.456722094","","","","",
"104","의료기기판매(임대)업","01_02_03_P","4540000","PHMG120204540026047000017","2020-09-21","","03","폐업","03","폐업","2026-01-24","","","","","","33014","","충청남도 논산시 연무읍 마봉로 **-*","33014","온집","2026-01-23 14:29:53","U","2026-01-25 02:40:00","","207702.331634072","287733.464866754","","","","",
"105","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120203630020047000059","2020-09-24","","03","폐업","03","폐업","2026-01-16","","","","","","","","광주광역시 광산구 사암로**번길  ***-**","62374","서건유통","2026-01-23 17:16:11","U","2026-01-25 02:40:00","","182930.384530081","183770.182492292","","","","",
"106","의료기기판매(임대)업","01_02_03_P","3450000","PHMG120253450022047000035","2025-05-29","","03","폐업","03","폐업","2026-01-23","","","","","","","대구광역시 북구 태전동 ****-*","대구광역시 북구 칠곡중앙대로 ***, B동 ***호 (태전동)","41462","주식회사 선우쇼핑 칠곡점","2026-01-23 11:49:34","U","2026-01-25 02:40:00","","339599.072448019","270557.686020147","","","","",
"107","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120253220033047000139","2023-10-25","","01","영업/정상","13","영업중","","","","","070-4155-0333","","","서울특별시 강남구 논현동 ***-* 강남파라곤 ****호","서울특별시 강남구 학동로 ***, ****호 (논현동, 강남파라곤)","06099","주식회사 티더블유씨","2026-01-23 14:43:40","U","2026-01-25 02:40:00","","203478.848090516","446036.594200092","","","","",
"108","의료기기판매(임대)업","01_02_03_P","4060000","PHMG120254060482047000046","2023-10-23","","03","폐업","03","폐업","2025-01-22","","","","","","","경기도 파주시 동패동 ****","경기도 파주시 미래로 ***-**, 지하*층 ***, ***호 (동패동)","10905","솔고","2026-01-23 09:33:17","U","2026-01-25 02:40:00","","177457.972114297","467729.723396849","","","409","",
"109","의료기기판매(임대)업","01_02_03_P","5340000","PHMG120145340030047000021","2014-11-17","","03","폐업","03","폐업","2026-01-22","","","","","","","경상남도 사천시 사천읍 선인리 ***번지 **호","경상남도 사천시 사천읍 읍내로 *** (롯데아이스크림)","52517","씨유 신사천중앙점","2026-01-23 10:54:20","U","2026-01-25 02:40:00","","299962.281054108","176177.130763415","","","4","",
"110","의료기기판매(임대)업","01_02_03_P","4510000","PHMG120254510030047000004","2025-02-19","","03","폐업","03","폐업","2026-01-22","","","","","","","충청남도 보령시 대천동 ***-*","충청남도 보령시 대흥로 **, *층 (대천동)","33449","킴스유통","2026-01-23 13:48:14","U","2026-01-25 02:40:00","","163172.52463594","316784.576891149","","","","",
"111","의료기기판매(임대)업","01_02_03_P","3500000","PHMG120223500020047000033","2022-07-19","","03","폐업","03","폐업","2026-01-21","","","","","","","인천광역시 동구 화수동 *-** 화수아파트","인천광역시 동구 제물량로 ***, 화수아파트 *층 (화수동)","22512","CU편의점 동구 제물량점","2026-01-23 13:40:40","U","2026-01-25 02:40:00","","167100.028744805","442585.926030547","","","510.84","",
"112","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120223560021047000333","2022-07-19","","03","폐업","03","폐업","2026-01-23","","","","","","","인천광역시 서구 마전동 ****-* 검단*차 대주피오레아파트","인천광역시 서구 완정로**번안길 *, 검단*차 대주피오레아파트 상가A동 ***, ***호 (마전동)","22638","씨유검단피오레점","2026-01-23 16:55:51","U","2026-01-25 02:40:00","","170431.00052012","454955.167069997","","","","",
"113","의료기기판매(임대)업","01_02_03_P","3020000","PHMG120183020033047000036","2018-07-04","","01","영업/정상","13","영업중","","","","","02-790-1181","","","서울특별시 용산구 한강로*가 **","서울특별시 용산구 서빙고로 **, 타워동 **층 (한강로*가)","04387","비티엘메디컬테크놀로지코리아 유한회사","2026-01-23 14:35:11","U","2026-01-25 02:40:00","","197056.728931087","447077.126289262","","","","",
"114","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120223630020047000150","2022-06-24","","03","폐업","03","폐업","2026-01-15","","","","","","","광주광역시 광산구 서봉동 ** 상지관","광주광역시 광산구 호남대길 **, 상지관 지하*층 (서봉동)","62399","씨유 호남대3호관점","2026-01-23 17:08:52","U","2026-01-25 02:40:00","","178899.877331761","183555.670967653","","","","",
"115","의료기기판매(임대)업","01_02_03_P","3470000","PHMG120223470022047000256","2022-06-20","","03","폐업","03","폐업","2026-01-23","","","","053-710-2100","","","대구광역시 달서구 감삼동 **-*","대구광역시 달서구 달구벌대로 ****, *층 (감삼동)","42640","주식회사 커뮤니티사회교육원","2026-01-23 13:21:43","U","2026-01-25 02:40:00","","339298.437745433","262479.604945207","","","","",
"116","의료기기판매(임대)업","01_02_03_P","3690000","PHMG120223690018047000081","2022-05-03","","03","폐업","03","폐업","2026-01-23","","","","","","","울산광역시 중구 복산동 ***-*","울산광역시 중구 도화골**길 **, *층 (복산동)","44478","세븐일레븐울산효성점","2026-01-23 13:38:37","U","2026-01-25 02:40:00","","411293.284720628","231717.423685105","","","","",
"117","의료기기판매(임대)업","01_02_03_P","3780000","PHMG120223780062047000135","2020-07-28","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 수진동 ** 나눔빌딩","경기도 성남시 수정구 수정로 ***, 나눔빌딩 *층 **호 (수진동)","13327","주식회사 비에스메디팜","2026-01-23 13:30:56","U","2026-01-25 02:40:00","","211731.688911802","437675.368807236","","","6.46","",
"118","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120225670554047000201","2022-04-28","","03","폐업","03","폐업","2026-01-22","","","","","","","경상남도 창원시 성산구 가음동 **-*","경상남도 창원시 성산구 가양로**번길 *, 지하 *층 (가음동)","51490","세븐일레븐 창원남산점","2026-01-23 09:04:47","U","2026-01-25 02:40:00","","354774.403793282","191043.360975195","","","","",
"119","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120233630020047000131","2023-10-20","","03","폐업","03","폐업","2026-01-15","","","","","","","광주광역시 광산구 흑석동 *** 수완*단지 중흥에스-클래스","광주광역시 광산구 풍영로***번길 **, 제상가동 ***호 (흑석동, 수완*단지 중흥에스-클래스)","62234","씨유 흑석중흥점","2026-01-23 17:14:54","U","2026-01-25 02:40:00","","182893.380038342","187201.755944781","","","","",
"120","의료기기판매(임대)업","01_02_03_P","3320000","PHMG120233320045047000058","2023-11-10","","03","폐업","03","폐업","2026-01-23","","","","","","","부산광역시 북구 만덕동 *** 백양디이스트","부산광역시 북구 덕천로***번길 **, ***동 ***호 (만덕동, 백양디이스트)","46611","제니끄","2026-01-23 16:01:46","U","2026-01-25 02:40:00","","385017.803672063","191676.422509467","","","","",
"121","의료기기판매(임대)업","01_02_03_P","3190000","PHMG120233190033047000075","2023-09-22","","03","폐업","03","폐업","2026-01-21","","","","","","","서울특별시 동작구 상도동 ***-*** ***호","서울특별시 동작구 성대로*가길 **, *층 ***호 (상도동)","07044","씨유상도맨하탄점","2026-01-23 10:35:09","U","2026-01-25 02:40:00","","194028.355963488","443924.760502405","","","55.89","",
"122","의료기기판매(임대)업","01_02_03_P","3230000","PHMG120233230034047000249","2023-11-20","","01","영업/정상","13","영업중","","","","","02-862-2816","","","서울특별시 송파구 문정동 *** 가든파이브웍스","서울특별시 송파구 충민로 **, 가든파이브웍스 S동 ***호 (문정동)","05839","티에스제이아이앤씨(주)","2026-01-23 17:00:57","U","2026-01-25 02:40:00","","210780.126180232","441730.920486073","","","","",
"123","의료기기판매(임대)업","01_02_03_P","3080000","PHMG120243080033047000060","2024-11-14","","03","폐업","03","폐업","2026-01-22","","","","","","","서울특별시 강북구 우이동 ** 용천빌딩","서울특별시 강북구 삼양로***길 *, 용천빌딩 *층 (우이동)","01006","한국장애인정보화협회","2026-01-23 09:28:11","U","2026-01-25 02:40:00","","201051.839134539","461507.395349107","","","","",
"124","의료기기판매(임대)업","01_02_03_P","5710000","PHMG120255710106047000007","2025-02-06","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 서운동 **-**","충청북도 청주시 상당구 상당로 *-*, *층 (서운동)","28715","육거리옥매트,게르마늄,전기매트매장","2026-01-23 16:38:18","U","2026-01-25 02:40:00","","243902.295843352","347596.128891128","","","40","",
"125","의료기기판매(임대)업","01_02_03_P","3460000","PHMG120253460023047000005","2025-01-13","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 지산동 **** 지산한라타운","대구광역시 수성구 지범로**길 *, 상가동 *층 ***호 (지산동, 지산한라타운)","42208","메디이엘","2026-01-23 09:34:12","U","2026-01-25 02:40:00","","347853.628253362","259282.22836482","","","42.4","",
"126","의료기기판매(임대)업","01_02_03_P","3230000","PHMG120243230034047000260","2024-12-02","","01","영업/정상","13","영업중","","","","","070-7711-5523","","","서울특별시 송파구 신천동 *-**","서울특별시 송파구 올림픽로**다길 **, *층 일부호 (신천동)","05510","프로메디우스(주)","2026-01-23 16:33:14","U","2026-01-25 02:40:00","","208851.007809422","445928.490511145","","","","",
"127","의료기기판매(임대)업","01_02_03_P","3560000","PHMG120253560021047000018","2025-02-14","","03","폐업","03","폐업","2026-01-22","","","","","","","인천광역시 서구 청라동 ***-** 미라클프라자","인천광역시 서구 청라에메랄드로***번길 *-**, 미라클프라자 *층 ***-비-**호 (청라동)","22739","유니덴탈","2026-01-23 14:33:44","U","2026-01-25 02:40:00","","169782.03","447961.31","","","","",
