"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"70","담배소매업","11_43_02_P","3700000","2008370005305600012","2008-01-22","","03","폐업","2","폐업처리","2026-01-23","","","","","","680-020","울산광역시 남구 삼산동 1566번지 13호","울산광역시 남구 삼산로301번길 8-17 (삼산동)","","썬빌리지 보람점","2026-01-23 18:44:34","U","2026-01-25 02:40:00","","412238.194916333","229355.711659135","20080122","2009년11월법개정전자료",
"71","담배소매업","11_43_02_P","3630000","2022363028005600092","2022-08-31","","01","영업/정상","0","정상영업","","","","","062-945-5001","","","광주광역시 광산구 쌍암동 680-1","광주광역시 광산구 임방울대로825번길 21-10(쌍암동)","62275","(주)다담리테일(첨단점)","2026-01-23 15:16:59","U","2026-01-25 02:40:00","","186117.180487003","191138.745833424","20220831","제7조의3제3항에따른경우",
"72","담배소매업","11_43_02_P","3670000","2022367018305600068","2022-09-22","","03","폐업","2","폐업처리","2026-01-23","","","","","","","대전광역시 유성구 용계동 671-10","대전광역시 유성구 도안북로 50-15, 1층 (용계동)","34218","워시봉셀프세차","2026-01-23 10:52:16","U","2026-01-25 02:40:00","","229938.12","314350.47891054","20220922","제7조의3제2항에따른경우",
"73","담배소매업","11_43_02_P","3910000","2021391025105600009","2021-03-30","","04","취소/말소/만료/정지/중지","6","영업정지","","2026-02-03","2026-02-06","","","","","경기도 평택시 안중읍 송담리 848-2","경기도 평택시 안중읍 송담2로 33, 1층","17941","씨유 평택안중송담점","2026-01-23 16:51:27","U","2026-01-25 02:40:00","","193492.155569082","386309.967502231","20210330","제7조의3제2항에따른경우",
"74","담배소매업","11_43_02_P","3560000","2021356018705600061","2021-04-15","","02","휴업","1","휴업처리","","2027-02-01","2026-03-02","","","","","인천광역시 서구 원창동 381-63","인천광역시 서구 북항로32번안길 11, 1층 101호 (원창동)","22769","세븐일레븐 북항DPA점","2026-01-23 17:13:40","U","2026-01-25 02:40:00","","168654.119493439","445102.043020616","20210415","제7조의3제2항에따른경우",
"75","담배소매업","11_43_02_P","3220000","2022322024905600053","2022-08-12","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 강남구 도곡동 467-7 아카데미스위트","서울특별시 강남구 언주로30길 21, 상가 A동 1층 105-2호 (도곡동, 아카데미스위트)","06292","지에스25(GS25) 도곡아카데미점","2026-01-23 14:44:17","U","2026-01-25 02:40:00","","204538.144891563","442942.853505354","20220812","제7조의3제2항에따른경우",
"76","담배소매업","11_43_02_P","4000000","2016400014505600083","2016-12-16","","01","영업/정상","0","정상영업","","","","","031-374-4440","","","경기도 오산시 궐동 615-1","경기도 오산시 궐리사로 3 (궐동)","18123","(주)농수산물 센터","2026-01-23 10:13:03","U","2026-01-25 02:40:00","","204640.582826243","406514.237257451","20161216","제7조의3제2항에따른경우",
"77","담배소매업","11_43_02_P","3160000","2002316007105601151","2002-05-10","","01","영업/정상","0","정상영업","","","","","2681-6215","","","서울특별시 구로구 항동 13-3","서울특별시 구로구 연동로13길 13, 지층 B01호 (항동)","08360","화랑마트","2026-01-23 09:26:04","U","2026-01-25 02:40:00","","184136.257569713","442472.072249698","20020510","2009년11월법개정전자료",
"78","담배소매업","11_43_02_P","4460000","2017446009205600003","2017-02-23","","03","폐업","2","폐업처리","2026-01-19","","","","043-838-5149","","","충청북도 괴산군 청안면 청용리 202번지","충청북도 괴산군 청안면 중부로 2974 (두꺼비주유소)","28049","두꺼비주유소","2026-01-23 13:05:08","U","2026-01-25 02:40:00","","256650.072822359","365959.904987546","20170223","제7조의3제2항에따른경우",
"79","담배소매업","11_43_02_P","4010000","2022401031705600072","2022-06-02","","03","폐업","2","폐업처리","2026-01-23","","","","","","","경기도 시흥시 대야동 694 대야역 두산위브 더파크","경기도 시흥시 서해안로 1645, 단지내상가동 201,203,205호 (대야동, 대야역 두산위브 더파크)","14902","씨유 대야두산위브","2026-01-23 16:52:10","U","2026-01-25 02:40:00","","181222.983877812","438766.135700163","20220602","제7조의3제2항에따른경우",
"80","담배소매업","11_43_02_P","5710000","2022573002305600035","2022-05-10","","03","폐업","2","폐업처리","2026-01-23","","","","043-234-4590","","","충청북도 청주시 흥덕구 복대동 3029","충청북도 청주시 흥덕구 증안로 75, 101-102호 (복대동)","28421","그린마트","2026-01-23 13:45:49","U","2026-01-25 02:40:00","","238580.888647932","348472.56644365","20220510","제7조의3제2항에따른경우",
"81","담배소매업","11_43_02_P","4390000","2024439021405600081","2024-12-13","","03","폐업","2","폐업처리","2026-01-23","","","","","","","충청북도 충주시 연수동 1419","충청북도 충주시 동수12길 40, 1층 (연수동)","27351","세븐일레븐 충주연수사랑점","2026-01-23 15:14:22","U","2026-01-25 02:40:00","","283452.369560426","387563.835492195","20241213","제7조의3제2항에따른경우",
"82","담배소매업","11_43_02_P","4470000","2024447012305600045","2024-12-27","","03","폐업","2","폐업처리","2026-01-23","","","","","","","충청북도 음성군 맹동면 두성리 1340","충청북도 음성군 맹동면 용두3길 4, 111호","27738","지에스25 영무비트타운점","2026-01-23 11:40:16","U","2026-01-25 02:40:00","","248871.361925742","378711.118572297","20241227","제7조의3제2항에따른경우",
"83","담배소매업","11_43_02_P","3490000","2025349024205600001","2025-01-03","","04","취소/말소/만료/정지/중지","5","지정취소","","","","","","","","인천광역시 중구 운남동 507-19","인천광역시 중구 운중로 39-2, 3, 4호 (운남동)","22359","큐월드마트","2026-01-23 12:24:55","U","2026-01-25 02:40:00","","159074.417545804","443619.058484428","20250103","제7조의3제2항에따른경우",
"84","담배소매업","11_43_02_P","5060000","2024506030705600032","2024-11-14","","03","폐업","2","폐업처리","2026-01-23","","","","","","","경상북도 김천시 율곡동 785 1층 1동","경상북도 김천시 혁신로 171, 1동 1층 (율곡동)","39660","주식회사 케이원김천혁신","2026-01-23 10:48:27","U","2026-01-25 02:40:00","","306567.583469332","291330.366292281","20241114","제7조의3제2항에따른경우",
"85","담배소매업","11_43_02_P","3180000","2025318027005600007","2025-02-11","","03","폐업","2","폐업처리","2026-01-23","","","","","","","서울특별시 영등포구 당산동5가 11-33 당산디오빌","서울특별시 영등포구 당산로 222, 1층 105-1,2호 (당산동5가, 당산디오빌)","07214","제오헤어 당산역점","2026-01-23 17:12:37","U","2026-01-25 02:40:00","","191292.095160096","447892.078672003","20250211","제7조의3제2항에따른경우",
