»ç¾÷Àå¸í,Æó¾÷ÀÏÀÚ,ÁÂÇ¥X,ÁÂÇ¥Y,µ¥ÀÌÅÍ°»½Å½ÃÁ¡,µ¥ÀÌÅÍ°»½Å±¸ºÐ,»ó¼¼¿µ¾÷»óÅÂÄÚµå,»ó¼¼¿µ¾÷»óÅÂ¸í,ÃÖÁ¾¼öÁ¤½ÃÁ¡,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÀÎÇã°¡ÀÏÀÚ,¼ÒÀçÁö¿ìÆí¹øÈ£,Áö¹øÁÖ¼Ò,°ü¸®¹øÈ£,°³¹æÀÚÄ¡´ÜÃ¼ÄÚµå,µµ·Î¸íÁÖ¼Ò,µµ·Î¸í¿ìÆí¹øÈ£,¿µ¾÷»óÅÂ±¸ºÐÄÚµå,¿µ¾÷»óÅÂ¸í,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,¼ÒÀçÁöÀüÈ­¹øÈ£,ÃÑ±Ô¸ð
±¹Á¦ÄÜÅÃÆ®·»Áî,2011-02-14,,,2026-04-26 22:31:58,I,03,Æó¾÷,2011-02-14 16:29:43,,1996-04-18,110-122,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡µ¿ **-* Á¾·Îºôµù *Ãþ,PHMG119963000034047000003,3000000,,,03,Æó¾÷,,,02-735-3121,
¸ÞµðÇÊ,2014-03-10,206826.362334705,454394.360246968,2026-04-26 22:31:59,I,24,Á÷±ÇÆó¾÷,2014-03-11 10:00:05,,2006-07-25,131-823,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ*µ¿ ***¹øÁö **È£,PHMG120063060034047000016,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ ** (¸é¸ñµ¿),,04,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,,,02-979-0288,
Ä­Å¸Å¸O.S.C,2018-07-13,206459.881351271,453970.062548478,2026-04-26 22:32:16,I,03,Æó¾÷,2018-07-13 15:57:52,,2015-01-13,131-824,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö ***È£,PHMG120153060034047000001,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶ûÃµ·Î ** (¸é¸ñµ¿),02132,03,Æó¾÷,,,02-496-5959,
´ëÇÑ±¹º¸Ã»±â,2012-09-13,200143.482606513,452103.736852216,2026-04-26 22:32:08,I,03,Æó¾÷,2012-09-13 13:22:48,,2009-06-25,110-835,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö *È£,PHMG120093000034047000025,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***-* (Á¾·Î*°¡),,03,Æó¾÷,,,,
¼ºÁö¸ÞµðÄ® ³×Æ®¿÷½º,2026-01-30,199934.030448564,453583.450549667,2026-04-26 22:32:09,I,03,Æó¾÷,2026-01-30 11:37:32,,2010-09-09,110-522,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·ûµ¿*°¡ **¹øÁö *Ãþ,PHMG120103000034047000032,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î *** (¸í·û*°¡,*Ãþ)",,03,Æó¾÷,,,,
Áö¿ø,2010-09-24,,,2026-04-26 22:32:01,I,03,Æó¾÷,2010-10-04 11:02:57,,2004-12-18,110-824,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼þÀÎµ¿ **-** ¿¬³²ºôµù ***È£,PHMG120043000034047000037,3000000,,,03,Æó¾÷,,,02-3676-3369,
ÆÄ´Ï·¦,,198643.543485167,452199.798612424,2026-04-26 22:32:26,I,13,¿µ¾÷Áß,2021-03-25 16:31:45,,2021-03-24,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿ ***-* ÇÏ³ª·Îºôµù ***È£,PHMG120213000034047000021,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿*±æ **, ÇÏ³ª·Îºôµù ***È£ (ÀÎ»çµ¿)",03162,01,¿µ¾÷/Á¤»ó,,,070-7722-7716,
¾Æ±×¶ó,2009-12-16,197567.747824202,452347.973860449,2026-04-26 22:32:07,I,03,Æó¾÷,2009-12-17 08:53:38,,2009-06-25,110-070,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³»¼öµ¿ **¹øÁö ¿ëºñ¾îÃµ°¡ ****È£,PHMG120093000034047000024,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »õ¹®¾È·Î*±æ ** (³»¼öµ¿,¿ëºñ¾îÃµ°¡ ****È£)",,03,Æó¾÷,,,,
(ÁÖ)ÄÚ¸®¾Æ¼¼ºì ¼º´ë¿ø·ëÁ¡,2019-04-04,199456.324157124,454109.70476764,2026-04-26 22:32:20,I,03,Æó¾÷,2019-04-04 18:04:31,,2016-09-08,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û*°¡ *¹øÁö ***È£ *Ãþ,PHMG120163000034047000061,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û±æ **, *Ãþ (¸í·û*°¡)",03065,03,Æó¾÷,,,,
¾¾À¯ÇýÈ­·ÎÁ¡,,199937.388881508,453903.016859856,2026-04-26 22:32:28,I,13,¿µ¾÷Áß,2022-02-11 09:48:13,,2022-02-09,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÇýÈ­µ¿ **-** *Ãþ,PHMG120223000034047000039,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÇýÈ­·Î **, *Ãþ (ÇýÈ­µ¿)",03067,01,¿µ¾÷/Á¤»ó,,,02-745-8335,
¼±¿ì¸ÞµðÄ®,2012-04-17,200585.880452812,452115.849749209,2026-04-26 22:32:09,I,03,Æó¾÷,2012-04-17 11:18:17,,2010-07-20,110-126,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ ***¹øÁö *È£ *Ãþ,PHMG120103000034047000021,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***-* (Á¾·Î*°¡,*Ãþ)",,03,Æó¾÷,,,36754485,
¿¥¿¡½º ¸ÞµðÄ®,2010-02-24,208608.523141255,455289.134255653,2026-04-26 22:32:05,I,03,Æó¾÷,2010-10-13 16:56:48,,2010-01-22,131-810,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìº»µ¿ ***¹øÁö *È£ ÆÄ¿ïºôµù  ***È£,PHMG120103060034047000009,3060000,,,03,Æó¾÷,,,02-6497-8541,
(ÁÖ)ºñÁö¿¡ÇÁÈÞ¸Õ³Ý CU¸í·û¼º´ëÁ¡,2022-06-10,199821.627625442,453360.147414481,2026-04-26 22:32:27,I,03,Æó¾÷,2022-06-10 11:36:54,,2021-06-03,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û*°¡ *** *Ãþ,PHMG120213000034047000086,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î ***, *Ãþ (¸í·û*°¡)",03079,03,Æó¾÷,,,,
¿¹»Ý´õÇÏ±â,2026-01-20,207482.55840115,452631.26094743,2026-04-26 22:32:21,I,03,Æó¾÷,2026-01-19 16:15:28,,2018-04-05,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö **È£ *Ãþ,PHMG120183060034047000012,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ·Î**±æ *, *Ãþ (¸é¸ñµ¿)",02244,03,Æó¾÷,,,,
¾¾À¯ Á¾·Î½Å±³Á¡,2016-12-28,197248.98886396,453488.397543043,2026-04-26 22:32:16,I,03,Æó¾÷,2016-12-28 16:03:28,,2014-11-05,110-032,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ½Å±³µ¿ **¹øÁö,PHMG120143000034047000065,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÇÊ¿î´ë·Î ***-* (½Å±³µ¿),03035,03,Æó¾÷,,,02-735-9777,
±¤¼ºÄ¡°ú»ó»ç,2024-09-03,200995.269706296,452163.561110871,2026-04-26 22:32:02,I,24,Á÷±ÇÆó¾÷,2024-09-03 16:49:22,,2006-01-18,110-842,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢½Å*µ¿ ***¹øÁö ÁöÇÏ*Ãþ,PHMG120063000034047000004,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***-*, ÁöÇÏ*Ãþ (Ã¢½Åµ¿)",03119,04,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,,,02-764-4478,
ÁÖ½ÄÈ¸»ç µ¿¼­³ª³ë¸ÞµðÄÃ,2009-11-30,207485.049013079,454704.772646639,2026-04-26 22:32:01,I,03,Æó¾÷,2009-11-30 13:24:33,,2008-04-14,131-860,¼­¿ïÆ¯º°½Ã Áß¶û±¸ »óºÀ*µ¿ ***¹øÁö **È£ ³²¾çºôµù *Ãþ,PHMG120083060034047000013,3060000,,,03,Æó¾÷,,,02-435-7546,
(ÁÖ)µð¿¡½º¸ÞµðÄÉ¾î,,207284.213563314,455978.825606043,2026-04-26 22:32:17,I,13,¿µ¾÷Áß,2015-10-02 09:09:25,,2015-10-01,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­µ¿ ***¹øÁö *È£ ÁöÇÏ ***È£,PHMG120153060034047000076,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ **, ÁöÃþ ***È£ (ÁßÈ­µ¿, ÈúÇÏ¿ì½º)",02046,01,¿µ¾÷/Á¤»ó,,,,
´ëÁ¤»ó»ç,,198913.496136105,452416.170780139,2026-04-26 22:32:33,I,13,¿µ¾÷Áß,2023-04-12 10:44:19,,2023-04-10,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³«¿øµ¿ **-* Á¾·Î¿ÀÇÇ½ºÅÚ ****È£,PHMG120233000034047000019,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »ïÀÏ´ë·Î**±æ **, ****È£ (³«¿øµ¿, Á¾·Î¿ÀÇÇ½ºÅÚ)",03132,01,¿µ¾÷/Á¤»ó,,,02-745-1475,
À² ¸ÞµðÄ®(¼­¿ï),,208760.460460014,453974.271245743,2026-04-26 22:32:25,I,15,ÀüÃâ,2022-11-29 08:56:50,,2020-10-13,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ *-*,PHMG120203060034047000067,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¿ë¸¶»ê·Î**±æ **, *Ãþ (¸é¸ñµ¿)",02191,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,,
Å¸´Ï¾Æ,2013-05-03,200219.18121834,453256.571193375,2026-04-26 22:32:13,I,03,Æó¾÷,2013-05-03 16:07:50,,2011-11-07,110-809,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ µ¿¼þµ¿ *¹øÁö ***È£ *Ãþ,PHMG120113000034047000057,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ´ëÇÐ·Î**±æ **, *Ãþ (µ¿¼þµ¿)",,03,Æó¾÷,,,02-745-5353,
¾ÆÀÌºò¾²¸®Ä¿ÇÇ¿£µåÄÉÀÌ½º,2023-03-16,208885.083281145,455339.822177182,2026-04-26 22:32:27,I,03,Æó¾÷,2023-03-17 14:27:06,,2022-02-14,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ ***-**,PHMG120223060034047000066,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ì·Î ***, *Ãþ (¸Á¿ìµ¿)",02059,03,Æó¾÷,,,,
ÇÑºû³ª³ëÀÇ·á±â »ç°¡Á¤ÁöÁ¡,2013-10-16,207509.876516215,452952.386171853,2026-04-26 22:31:59,I,03,Æó¾÷,2013-10-16 15:31:39,,2006-10-04,131-828,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ*µ¿ ***¹øÁö *È£ *Ãþ,PHMG120063060034047000023,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ·Î**±æ *, *Ãþ (¸é¸ñµ¿)",,03,Æó¾÷,,,02-496-3321,
Çö´ëÀÇ·á±â,2021-11-04,199652.48619638,452012.978552867,2026-04-26 22:32:18,I,03,Æó¾÷,2021-11-04 11:28:31,,2015-03-10,110-853,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö *Ãþ,PHMG120153000034047000015,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ***-*, *Ãþ (Á¾·Î*°¡)",03194,03,Æó¾÷,,,02-2268-7335,
À£ºùÅäÇÇ¾Æ,2006-07-25,209248.502330537,455399.906553908,2026-04-26 22:31:58,I,03,Æó¾÷,2009-07-24 13:33:25,,2005-04-11,131-802,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìº»µ¿ ***¹øÁö **È£ *Ãþ **È£,PHMG120053060034047000037,3060000,,,03,Æó¾÷,,,02-491-2650,
µð¿ÀÅõ¸Þµð,,207990.479257211,457183.637796144,2026-04-26 22:32:18,I,13,¿µ¾÷Áß,2016-07-07 17:17:18,,2016-07-07,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»µ¿ ***¹øÁö,PHMG120163060034047000045,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»·Î ***, ***È£ (½Å³»µ¿, µð¾Æ¶ß°¶·¯¸®)",02024,01,¿µ¾÷/Á¤»ó,,,,
½ã¹ÙÀÌ¿ÀÀÇ·á±â,2014-06-16,206741.232915313,454362.749653033,2026-04-26 22:32:12,I,03,Æó¾÷,2014-06-16 15:37:34,,2013-02-04,131-823,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö ***È£ *Ãþ,PHMG120133060034047000011,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î***±æ ** (¸é¸ñµ¿),,03,Æó¾÷,,,,
±ºÀÚÃâÆÇ»çÁÖ½ÄÈ¸»ç,2018-06-18,199682.108862983,452278.243885668,2026-04-26 22:32:15,I,03,Æó¾÷,2018-06-18 14:26:44,,2013-06-10,110-410,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎÀÇµ¿ ***¹øÁö *È£ *Ãþ,PHMG120133000034047000021,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î ***, *Ãþ (ÀÎÀÇµ¿)",03137,03,Æó¾÷,,,02-744-9194,
ºñÃ¤,2018-07-18,206270.96670005,454960.415437572,2026-04-26 22:32:21,I,03,Æó¾÷,2018-07-18 11:49:35,,2018-06-04,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­µ¿ ***¹øÁö ***È£ *Ãþ,PHMG120183060034047000023,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶ûÃµ·Î ***, *Ãþ (ÁßÈ­µ¿)",02114,03,Æó¾÷,,,02-492-3826,
ÄÚ¸®¾Æ´ÚÅÍ,2021-11-05,199816.770134674,451999.530839582,2026-04-26 22:32:25,I,03,Æó¾÷,2021-11-05 10:45:55,,2019-12-27,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¿¹Áöµ¿ *¹øÁö *È£,PHMG120193000034047000063,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î **, ***È£ (¿¹Áöµ¿)",03195,03,Æó¾÷,,,080-080-0018,
¹Ý¿Ã¸²,2020-01-14,199821.627625442,453360.147414481,2026-04-26 22:32:25,I,03,Æó¾÷,2020-01-14 17:28:02,,2019-05-15,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û*°¡ ***¹øÁö ÀÌÈ­ºôµù *Ãþ,PHMG120193000034047000022,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î ***, ÀÌÈ­ºôµù *Ãþ (¸í·û*°¡)",03079,03,Æó¾÷,,,,
ÁÖ½ÄÈ¸»ç ÁöÄ¿¸Ó½ºÄÚ¸®¾Æ,,200365.821662289,452786.216855851,2026-04-26 22:32:34,I,13,¿µ¾÷Áß,2024-06-24 16:17:26,,2024-06-21,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÌÈ­µ¿ **-** ¿¹ÀÎ»ç¶û *ÃþÈ£,PHMG120243000034047000028,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÌÈ­Àå*±æ *, ¿¹ÀÎ»ç¶û *Ãþ (ÀÌÈ­µ¿)",03088,01,¿µ¾÷/Á¤»ó,,,,75.77
Á¦ÀÌ¿¡½º(JS)ÄÄÆÛ´Ï,,207925.785143453,453827.828961545,2026-04-26 22:32:23,I,13,¿µ¾÷Áß,2019-04-05 18:17:04,,2019-04-04,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö *È£ *Ãþ ***È£,PHMG120193060034047000017,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ·Î**±æ **-**, *Ãþ ***È£ (¸é¸ñµ¿)",02204,01,¿µ¾÷/Á¤»ó,,,,
¿Â´©¸®º¸Ã»±â,2023-05-30,200170.752482393,452114.404611982,2026-04-26 22:32:03,I,03,Æó¾÷,2023-05-30 14:38:41,,2006-10-31,110-835,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö,PHMG120063000034047000034,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î *** (Á¾·Î*°¡),03126,03,Æó¾÷,,,02-745-0119,
µ¿¸í°Ç°­ÀÇ·á±â,,199950.182031236,452216.125017747,2026-04-26 22:31:57,I,13,¿µ¾÷Áß,2026-02-25 10:46:27,,1985-06-26,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¿¬Áöµ¿ ***-**,PHMG119853000034047000002,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ´ëÇÐ·Î*±æ **-*, ÁöÇÏÃþ (¿¬Áöµ¿)",03129,01,¿µ¾÷/Á¤»ó,,,02-2273-2277,99
µ¿ºÎÀÇ·á±â»ó»ç,2018-12-31,206821.108967706,456096.359567266,2026-04-26 22:32:18,I,03,Æó¾÷,2018-12-31 11:08:41,,2016-08-17,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿,PHMG120163060034047000051,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î *** (¹¬µ¿),02010,03,Æó¾÷,,,02-3296-5327,
ÁÖ½ÄÈ¸»ç ½º¸¶Æ®¾¾¿£½Ã,2021-07-26,206925.379640626,455825.222009522,2026-04-26 22:32:22,I,03,Æó¾÷,2021-07-27 09:34:48,,2018-10-05,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ÁßÈ­µ¿ ***¹øÁö **È£ ***È£,PHMG120183060034047000034,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î ***, ***È£ (ÁßÈ­µ¿)",02047,03,Æó¾÷,,,02-6315-0505,
Æú¸®¾È³ª,2004-02-16,208432.147531456,456140.06920998,2026-04-26 22:31:57,I,03,Æó¾÷,2009-07-23 13:26:43,,2003-09-22,131-867,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»*µ¿ ***¹øÁö **È£,PHMG120033060034047000031,3060000,,,03,Æó¾÷,,,02-3421-1731,101.25
½ÅÇÑº¸Ã»±â,2013-02-21,199214.553264925,452046.601850459,2026-04-26 22:32:09,I,03,Æó¾÷,2013-02-21 11:45:42,,2010-05-14,110-123,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ **¹øÁö *È£,PHMG120103000034047000016,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ µ·È­¹®·Î ** (Á¾·Î*°¡),,03,Æó¾÷,,,,
CU ¼þÀÎÆÄ¶óºôÁ¡,,201946.86632604,452416.591916256,2026-04-26 22:32:32,I,13,¿µ¾÷Áß,2022-07-18 17:27:12,,2022-07-15,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼þÀÎµ¿ **** µ¿¾çÆÄ¶óºô ***È£,PHMG120223000034047000144,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³­°è·Î ***, µ¿¾çÆÄ¶óºô *Ãþ ***È£ (¼þÀÎµ¿)",03116,01,¿µ¾÷/Á¤»ó,,,02-2250-7210,
¾¾À¯ ¹¬µ¿¸Ô°ñ¿ªÁ¡,2016-12-29,206891.930944961,456779.871840918,2026-04-26 22:32:18,I,03,Æó¾÷,2016-12-29 17:10:28,,2016-07-05,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿ ***¹øÁö **È£,PHMG120163060034047000043,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ °ø¸ª·Î*°¡±æ ** (¹¬µ¿),02034,03,Æó¾÷,,,,
¾¾Á¦ÀÌ¿Ã¸®ºê¿µ(ÁÖ) ¼¼Á¾·ÎÁ¡,,197836.587371411,452046.256276552,2026-04-26 22:32:10,I,13,¿µ¾÷Áß,2023-02-20 17:34:54,,2010-10-29,110-050,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼¼Á¾·Î ***¹øÁö,PHMG120103000034047000043,3000000,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼¼Á¾´ë·Î *** (¼¼Á¾·Î),,01,¿µ¾÷/Á¤»ó,,,,
ÁÖ½ÄÈ¸»ç ¾Æ¸®¾ÆÄÉ¾îÄÚ¸®¾Æ,,198504.772723631,452018.161511911,2026-04-26 22:32:25,I,15,ÀüÃâ,2020-07-17 17:59:31,,2020-03-16,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ *¹øÁö Á¾·ÎÅ¸¿ö **Ãþ ***È£,PHMG120203000034047000021,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î **, Á¾·ÎÅ¸¿ö **Ãþ ***È£ (Á¾·Î*°¡)",03161,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,070-5157-2583,
È¨ÇÃ·¯½º ¸é¸ñÁ¡ ÇØÇÇ·£µå,2018-05-02,207090.86716546,453072.936040777,2026-04-26 22:32:09,I,03,Æó¾÷,2018-05-02 13:43:22,,2011-07-07,131-200,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñµ¿ ***¹øÁö *È£,PHMG120113060034047000032,3060000,¼­¿ïÆ¯º°½Ã Áß¶û±¸ µ¿ÀÏ·Î *** (¸é¸ñµ¿),02236,03,Æó¾÷,,,,
ÁÖ½ÄÈ¸»ç ¿¡µò,2013-02-14,207556.344511173,453156.632080021,2026-04-26 22:32:08,I,03,Æó¾÷,2013-02-27 11:40:24,,2010-09-30,131-828,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸é¸ñ*µ¿ ***¹øÁö *È£ ***È£,PHMG120103060034047000057,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ »ç°¡Á¤·Î ***, ***È£ (¸é¸ñµ¿)",,03,Æó¾÷,,,,
¿ì¸®¾ÆÀÌÄ£È¯°æ(ÁÖ),2023-06-29,197559.791065754,452388.315239125,2026-04-26 22:32:25,I,03,Æó¾÷,2023-06-29 15:07:47,,2019-07-11,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ³»¼öµ¿ **¹øÁö ±¤È­¹®½Ã´ë ***È£,PHMG120193000034047000035,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »çÁ÷·Î*±æ **, ***È£ (³»¼öµ¿, ±¤È­¹®½Ã´ë)",03173,03,Æó¾÷,,,070-7723-7567,
µ¨Å¸±â¾î½º±×·ì(DELTAGEARS GROUP),,197607.398336321,452120.026024435,2026-04-26 22:32:34,I,13,¿µ¾÷Áß,2025-07-01 15:38:22,,2024-03-19,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ´çÁÖµ¿ ***,PHMG120243000034047000013,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼¼Á¾´ë·Î**±æ **, ***-Á¦ÀÌ**È£ (´çÁÖµ¿)",03182,01,¿µ¾÷/Á¤»ó,,,,
ÀÌÁö¼¿ÇÁ´ÙÀÌ¾îÆ®,2010-04-02,208112.860200669,457113.638411288,2026-04-26 22:32:00,I,03,Æó¾÷,2010-04-02 10:16:13,,2007-03-15,131-872,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ½Å³»*µ¿ ***¹øÁö ±Ý°­¸®ºù½ºÅÚ  ***È£,PHMG120073060034047000006,3060000,,,03,Æó¾÷,,,02-3421-4755,
ÀÎÅ×±×¶ó¶óÀÌÇÁ»çÀÌ¾ð½Ã½ºÄÚ¸®¾Æ À¯ÇÑÈ¸»ç,,197557.974849131,451938.115260325,2026-04-26 22:32:34,I,15,ÀüÃâ,2025-04-08 14:20:02,,2023-10-19,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ½Å¹®·Î*°¡ *** ÄÜÄÚµð¾ð(concordian),PHMG120233000034047000062,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »õ¹®¾È·Î **, ÄÜÄÚµð¾ð(concordian) *Ãþ ***È£ (½Å¹®·Î*°¡)",03185,05,Á¦¿Ü/»èÁ¦/ÀüÃâ,,,,
(ÁÖ)ÄÚ¸®¾Æ¼¼ºì MÁ¾°¢¿ªÁ¡,,198288.608626982,451994.05947363,2026-04-26 22:32:29,I,13,¿µ¾÷Áß,2024-02-07 16:07:12,,2022-02-21,,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î*°¡ ** Á¾°¢ÁöÇÏÃ¶¿ª»ç,PHMG120223000034047000070,3000000,"¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î ÁöÇÏ**, Á¾°¢ÁöÇÏÃ¶¿ª»ç ***-**È£ (Á¾·Î*°¡)",03161,01,¿µ¾÷/Á¤»ó,,,02-725-3378,
½ÅÁøÁö³×Æ½¹ÙÀÌ¿À,2025-04-09,208651.521930236,455160.949635036,2026-04-26 22:32:33,I,03,Æó¾÷,2025-04-09 14:05:06,,2023-11-21,,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¸Á¿ìµ¿ ***-**,PHMG120233060034047000095,3060000,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¿ë¸¶»ê·Î***±æ **, *Ãþ ***È£ (¸Á¿ìµ¿)",02166,03,Æó¾÷,,,,
¹Ì·¡,2011-03-28,206620.3959283,456497.676317218,2026-04-26 22:32:08,I,03,Æó¾÷,2011-03-29 09:16:08,,2010-10-11,131-852,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬*µ¿ ***¹øÁö ***È£ *Ãþ,PHMG120103060034047000058,3060000,,,03,Æó¾÷,,,,31
